14:08:42	CPU	%user	nice	%system	%iowait	%steal	%idle
14:15:04	all	4,69	0,00	2,79	0,38	0,00	92,14
14:15:05	all	3,16	0,00	1,90	0,00	0,00	94,94
14:15:06	all	4,19	0,00	3,05	0,00	0,00	92,77
14:15:07	all	3,52	0,00	2,14	0,00	0,00	94,35
14:15:08	all	4,70	0,00	2,79	0,13	0,00	92,39
14:15:09	all	3,16	0,00	2,41	0,25	0,00	94,18
14:15:10	all	5,14	0,00	2,13	0,00	0,00	92,72
14:15:11	all	5,05	0,00	2,90	0,00	0,00	92,05
14:15:12	all	2,79	0,00	1,77	0,13	0,00	95,31
14:15:13	all	4,92	0,00	3,03	0,00	0,00	92,05
14:15:14	all	3,03	0,00	2,02	0,38	0,00	94,56
14:15:15	all	4,79	0,00	3,02	0,00	0,00	92,19
14:15:16	all	2,54	0,00	2,16	0,00	0,00	95,30
14:15:17	all	5,41	0,00	3,14	0,00	0,00	91,45
14:15:18	all	3,41	0,00	2,91	0,13	0,00	93,55
14:15:19	all	4,55	0,00	2,02	0,25	0,00	93,17
14:15:20	all	4,30	0,00	2,78	0,13	0,00	92,79
14:15:21	all	3,03	0,00	2,15	0,00	0,00	94,82
14:15:22	all	5,55	0,00	3,40	0,00	0,00	91,05
14:15:23	all	2,42	0,00	2,17	0,00	0,00	95,41
14:15:24	all	4,93	0,00	2,65	0,38	0,00	92,04
14:15:25	all	2,79	0,00	1,65	0,13	0,00	95,43
14:15:26	all	4,20	0,00	2,68	0,00	0,00	93,12
14:15:27	all	2,92	0,00	2,79	0,13	0,00	94,16
14:15:28	all	4,55	0,00	2,28	0,00	0,00	93,17
14:15:29	all	4,04	0,00	3,41	0,25	0,00	92,30
14:15:30	all	2,66	0,00	1,90	0,00	0,00	95,44
14:15:31	all	4,46	0,00	2,30	0,00	0,00	93,24
14:15:32	all	2,54	0,00	1,78	0,00	0,00	95,67
14:15:33	all	4,92	0,00	2,65	0,13	0,00	92,30
14:15:34	all	3,39	0,00	2,26	0,13	0,00	94,23
14:15:35	all	4,41	0,00	3,28	0,25	0,00	92,06
14:15:36	all	2,79	0,00	2,79	0,00	0,00	94,42
14:15:37	all	4,31	0,00	1,77	0,00	0,00	93,92
14:15:38	all	4,91	0,00	3,14	0,00	0,00	91,95
14:15:39	all	2,78	0,00	2,15	0,25	0,00	94,82
14:15:40	all	5,08	0,00	2,28	0,13	0,00	92,51
14:15:41	all	3,29	0,00	1,52	0,13	0,00	95,07
14:15:42	all	4,81	0,00	2,66	0,00	0,00	92,53
14:15:43	all	3,03	0,00	2,27	0,00	0,00	94,70
14:15:44	all	4,05	0,00	3,29	0,13	0,00	92,54
14:15:45	all	2,65	0,00	3,03	0,13	0,00	94,19
14:15:46	all	3,68	0,00	1,52	0,00	0,00	94,79
14:15:47	all	4,80	0,00	2,65	0,13	0,00	92,42
14:15:48	all	3,29	0,00	2,02	0,00	0,00	94,69
14:15:49	all	4,81	0,00	2,91	0,13	0,00	92,15
14:15:50	all	2,05	0,00	1,54	0,26	0,00	96,16
14:15:51	all	5,31	0,00	2,65	0,00	0,00	92,04
14:15:52	all	2,53	0,00	2,03	0,00	0,00	95,44
